image_id,satellite,aoi,customer,is_internal,bandset,queue,attempt,is_reprocess,t_acq,t_trigger,t_proc_end,t_qa,t_upload,t_deadline,last_ts,cloud_status,cloud_pct,cloud_excluded,target_status,plan_coverage_pct,qc_status,image_complete,proc_state,proc_terminal,proc_kind,fail_reason_raw,processable,non_processable_reason,delivered,delivered_secondary,ambiguous_success,ambiguous_reason,customer_visible_status,priority,sla_hours,strip_fulfillment,solar_zenith,solar_azimuth,sat_zenith,sat_azimuth,off_nadir,offset_north_km,offset_east_km,relative_light,bbr_flag,notes,dur_queue_h,dur_processing_h,dur_qc_queue_h,dur_qc_deliver_h,dur_e2e_h,n_attempt_rows,max_attempt,reprocessed,reprocess_success,first_attempt_qc,first_pass_success,censored,stale,age_h,met_sla
FF01_20260601_1084_DUBAI,FF01,Dubai Urban,UrbanAtlas,False,Vegetation,default,1,False,2026-06-01 07:00:00,2026-06-01 10:46:56,2026-06-01 17:20:56,2026-06-01 21:29:56,,2026-06-01 15:00:00,2026-06-01 21:29:56,Clear,6.7,False,Captured,92.7,Pass,Complete,In_QC,False,inflight,,True,,False,False,False,,Delayed,P0,8,Fulfilled,51.6,173.8,11.5,16.9,12.0,5.5,1.1,Very_Low,False,Customer asked for quick update,3.78,6.57,4.15,,,1,1,False,False,Pass,True,True,True,685.22,
FF01_20260601_1091_SAHAR,FF01,Sahara PICS,Calibration,True,VNIR_FULL,default,3,True,2026-06-01 08:25:00,2026-06-02 04:32:17,2026-06-02 10:40:17,2026-06-02 14:17:17,2026-06-02 13:48:17,2026-06-03 08:25:00,2026-06-02 14:17:17,Partly_Cloudy,66.4,True,Captured,99.8,Pass,Complete,Processed_Pre_Delivery,False,inflight,Recovered after reprocess,True,,True,True,False,,Delivered,Standard,48,Partially_Fulfilled,26.1,247.0,8.6,327.4,8.7,3.6,4.8,Low,False,Manual retry after QC fail,20.12,6.13,3.62,,29.39,3,3,True,True,Reprocess_Required,False,False,False,,True
FF03_20260601_1002_PUNJA,FF03,Punjab Wheat Belt,FoodSecurity Lab,False,VNIR_FULL,science_debug,2,True,2026-06-01 17:25:00,2026-06-02 14:28:22,2026-06-02 20:38:00,2026-06-02 22:08:22,2026-06-02 21:18:22,2026-06-03 17:25:00,2026-06-02 22:08:22,Partly_Cloudy,34.2,False,Captured,85.8,Pass,Complete,Delivered,True,success,minor haze,True,,True,True,False,,Delivered,Standard,48,Fulfilled,31.9,200.9,7.5,145.2,8.6,-4.8,-4.3,Medium,False,Reprocess attempt,21.06,6.16,1.51,,27.89,2,2,True,True,Pass,False,False,False,,True
FF02_20260601_1062_NILED,FF02,Nile Delta Farms,AgriSense,False,RedEdge,science_debug,1,False,2026-06-01 19:00:00,2026-06-01 20:45:00,2026-06-02 00:46:00,2026-06-02 05:52:00,2026-06-02 03:11:00,2026-06-03 19:00:00,2026-06-02 05:52:00,Clear,3.0,False,Captured,85.9,Pass_With_Note,Complete,Delivered,True,success,,True,,True,True,False,,Delivered,Unknown,48,Fulfilled,42.1,180.8,16.0,222.2,15.6,0.7,-4.2,High,False,Duplicate row from reprocess attempt,1.75,4.02,5.1,,8.18,1,1,False,False,Pass_With_Note,True,False,False,,True
FF03_20260601_1038_DUBAI,FF03,Dubai Urban,UrbanAtlas,False,VNIR_FULL,priority,1,False,2026-06-01 22:20:00,2026-06-02 04:30:32,2026-06-02 07:20:32,2026-06-02 10:31:32,2026-06-02 09:34:32,2026-06-02 14:20:00,2026-06-02 10:31:32,Clear,11.3,False,Captured,97.1,Pass,Complete,Processed_Pre_Delivery,False,inflight,,True,,True,False,True,"delivery_signal_mismatch(upload=True,cvs/pstate=False)",On track,P1,16,Unknown,55.5,229.8,26.1,300.9,25.0,3.5,-7.2,High,False,,6.18,2.83,3.18,,11.24,1,1,False,False,Pass,True,False,False,,True
FF03_20260602_1003_KUTCH,FF03,Kutch Coastal,CoastWatch,False,VNIR_FULL,priority,2,True,2026-06-02 12:45:00,2026-06-03 14:13:44,2026-06-03 19:51:44,2026-06-03 20:26:44,2026-06-03 21:29:44,2026-06-04 12:45:00,2026-06-03 21:29:44,Partly_Cloudy,30.8,False,Captured,90.3,Pass,Complete,Delivered,True,success,,True,,True,True,False,,On track,Standard,48,Fulfilled,30.6,147.5,9.3,38.5,10.2,2.4,-5.0,High,False,Reprocess attempt,25.48,5.63,0.58,1.05,32.75,2,2,True,True,Pass,False,False,False,,True
FF03_20260602_1012_RAJAS,FF03,Rajasthan Crop Belt,AgriSense,False,Standard_RGB,science_debug,1,False,2026-06-02 13:15:00,2026-06-02 17:26:33,2026-06-02 20:13:33,2026-06-02 21:29:33,,2026-06-04 13:15:00,2026-06-02 21:29:33,Clear,21.9,False,Captured,84.8,Pending,Complete,Delivered,True,success,minor haze,True,,False,True,True,"delivery_signal_mismatch(upload=False,cvs/pstate=True)",Internal review,Standard,48,Fulfilled,44.6,228.0,8.9,9.1,9.9,-6.0,-6.6,Medium,False,Downlink delay suspected,4.19,2.78,1.27,,,1,1,False,False,Pending,False,True,True,661.23,
FF01_20260602_1083_AMAZO,FF01,Amazon Forest,ForestWatch,False,Standard_RGB,science_debug,1,False,2026-06-02 15:40:00,2026-06-02 19:38:28,2026-06-02 21:14:28,2026-06-03 03:11:28,2026-06-03 00:46:28,2026-06-03 15:40:00,2026-06-03 03:11:28,Clear,11.6,False,Captured,98.7,Pass,Complete,Delivered,True,success,minor haze,True,,True,True,False,,On track,P2,24,Fulfilled,42.6,111.3,10.4,67.0,10.6,-4.3,7.0,Medium,False,Check if cloudy should be excluded from KPI,3.97,1.6,5.95,,9.11,1,1,False,False,Pass,True,False,False,,True
FF03_20260603_1058_ANDHR,FF03,Andhra Aquaculture,AquaMaps,False,Standard_RGB,priority,1,False,2026-06-03 07:00:00,2026-06-03 13:29:03,2026-06-03 18:24:03,,2026-06-03 22:00:03,2026-06-05 07:00:00,2026-06-03 22:00:03,Partly_Cloudy,47.0,False,Captured,97.3,Pass,Complete,Delivered,True,success,low SNR but accepted,True,,True,True,True,low_snr_accepted,Delivered,Standard,48,Partially_Fulfilled,57.0,99.0,9.2,241.3,9.1,-6.6,-2.3,High,False,Duplicate row from reprocess attempt,6.48,4.92,,,15.0,1,1,False,False,Pass,True,False,False,,True
FF01_20260603_1009_DUBAI,FF01,Dubai Urban,UrbanAtlas,False,Standard_RGB,default,2,True,,2026-06-03 16:00:24,2026-06-04 01:40:24,2026-06-04 04:18:24,2026-06-04 03:04:24,2026-06-04 08:15:00,2026-06-04 04:18:24,Clear,5.9,False,Captured,99.4,Pass,Complete,Delivered,True,success,low SNR but accepted,True,,True,True,True,low_snr_accepted,On track,P2,24,Fulfilled,51.7,86.8,14.1,348.9,14.5,2.0,3.5,Low,False,Reprocess attempt,,9.67,2.63,,,2,2,True,True,Pass,False,False,False,,True
